# mass_in_MeV   epsilon
1.0964e-2 2.4546e-3
1.1812e-2 2.4553e-3
1.2666e-2 2.5235e-3
1.3710e-2 2.5548e-3
1.4770e-2 2.5555e-3
1.5913e-2 2.5562e-3
1.7143e-2 2.5569e-3
1.8469e-2 2.5576e-3
1.9898e-2 2.5689e-3
2.1436e-2 2.6065e-3
2.3094e-2 2.6462e-3
2.4880e-2 2.6528e-3
2.6770e-2 2.6765e-3
2.8905e-2 2.7373e-3
3.1110e-2 2.8229e-3
3.3515e-2 2.8643e-3
3.6107e-2 2.9079e-3
3.8851e-2 2.8987e-3
4.1962e-2 2.9425e-3
4.5148e-2 3.0537e-3
4.8639e-2 3.1058e-3
5.2400e-2 3.2271e-3
5.6653e-2 3.4658e-3
6.0729e-2 3.6971e-3
6.5509e-2 4.0406e-3
7.0575e-2 4.1488e-3
7.6033e-2 4.1697e-3
8.1914e-2 4.1708e-3
8.8249e-2 4.1719e-3
9.5075e-2 4.1730e-3
1.0270e-1 4.1490e-3
1.1099e-1 4.1831e-3
1.1855e-1 4.2590e-3
1.2808e-1 4.3497e-3
1.3798e-1 4.3951e-3
1.4865e-1 4.4409e-3
1.6015e-1 4.4818e-3
1.7253e-1 4.5312e-3
1.8640e-1 4.5615e-3
1.9968e-1 4.7065e-3
2.1571e-1 5.3209e-3
2.3237e-1 6.0226e-3
2.5031e-1 6.8330e-3
2.6964e-1 7.7295e-3
2.9064e-1 8.4370e-3
3.1327e-1 9.1878e-3
3.3767e-1 1.0005e-2
3.6314e-1 1.0929e-2
3.9186e-1 1.1865e-2
4.2237e-1 1.2907e-2
4.5398e-1 1.4097e-2
4.8906e-1 1.4946e-2
5.2688e-1 1.5447e-2
5.6601e-1 1.6040e-2
6.1148e-1 1.6856e-2
6.5727e-1 1.7510e-2
7.0967e-1 1.8382e-2
7.6367e-1 1.9104e-2
8.2363e-1 2.0059e-2
8.8680e-1 2.0844e-2
9.5589e-1 2.1889e-2
1.0297e+0 2.3950e-2
1.1092e+0 2.7662e-2
1.1949e+0 3.1948e-2
1.2871e+0 3.6900e-2
1.3865e+0 4.2618e-2
1.4943e+0 4.8632e-2
1.6117e+0 5.3254e-2
1.7284e+0 5.6005e-2
1.8683e+0 5.8996e-2
2.0168e+0 6.2980e-2
2.1669e+0 7.0230e-2
2.3343e+0 7.9075e-2
2.5122e+0 8.7089e-2
2.7088e+0 9.8867e-2
2.9213e+0 1.1044e-1
3.1505e+0 1.2352e-1
3.3861e+0 1.3851e-1
3.6477e+0 1.5434e-1
3.9233e+0 1.7137e-1
4.2233e+0 1.9254e-1
4.5765e+0 2.1620e-1
