# mass_in_MeV   epsilon
1.0053e-1 2.9024e-2
1.0794e-1 2.9176e-2
1.1369e-1 2.9291e-2
1.1787e-1 2.9295e-2
1.2656e-1 2.9430e-2
1.3681e-1 2.9641e-2
1.4739e-1 2.9704e-2
1.5933e-1 2.9907e-2
1.7223e-1 3.0112e-2
1.8808e-1 3.0517e-2
2.0058e-1 3.0524e-2
2.1756e-1 3.0935e-2
2.3518e-1 3.0944e-2
2.7389e-1 3.2024e-2
2.9607e-1 3.2723e-2
3.1896e-1 3.3505e-2
3.4479e-1 3.4402e-2
3.6893e-1 3.6258e-2
3.9208e-1 3.9547e-2
4.0416e-1 4.5793e-2
4.1804e-1 5.1294e-2
4.4579e-1 5.5432e-2
4.7862e-1 5.8486e-2
5.1212e-1 6.3808e-2
5.2613e-1 7.1182e-2
5.3143e-1 8.3004e-2
5.3671e-1 1.1103e-1
5.6464e-1 1.1992e-1
5.9401e-1 1.3028e-1
6.2069e-1 1.4476e-1
6.6869e-1 1.4527e-1
7.2041e-1 1.4531e-1
7.8141e-1 1.4535e-1
8.3048e-1 1.5344e-1
8.9167e-1 1.5729e-1
9.6063e-1 1.5836e-1
1.0384e+0 1.5893e-1
1.1074e+0 1.6946e-1
1.1930e+0 1.7046e-1
1.2766e+0 1.7949e-1
1.3660e+0 1.8671e-1
1.4517e+0 2.0155e-1
1.5481e+0 2.1853e-1
1.6576e+0 2.3304e-1
1.7725e+0 2.4274e-1
1.9160e+0 2.4280e-1
2.0642e+0 2.4287e-1
2.2314e+0 2.4294e-1
2.4122e+0 2.4300e-1
2.6076e+0 2.4307e-1
2.8188e+0 2.4314e-1
3.0368e+0 2.4320e-1
3.2939e+0 2.4327e-1
3.5487e+0 2.4334e-1
3.8491e+0 2.4341e-1
4.1469e+0 2.4347e-1
4.4827e+0 2.4354e-1
5.2740e+0 2.4368e-1
5.6627e+0 2.4375e-1
6.1213e+0 2.4381e-1
6.6172e+0 2.4388e-1
7.1290e+0 2.4395e-1
7.7064e+0 2.4401e-1
8.3307e+0 2.4408e-1
8.9750e+0 2.4415e-1
9.4533e+0 2.4419e-1
4.8950e+0 2.4245e-1
