# mass_in_MeV   epsilon
1.0909e-2 1.6357e-4
1.1717e-2 1.7065e-4
1.2642e-2 1.7882e-4
1.3593e-2 1.8636e-4
1.4683e-2 1.9521e-4
1.5818e-2 2.0381e-4
1.7055e-2 2.1326e-4
1.8351e-2 2.2267e-4
1.9757e-2 2.3248e-4
2.1290e-2 2.4288e-4
2.2902e-2 2.5395e-4
2.4807e-2 2.6582e-4
2.6679e-2 2.7743e-4
2.8807e-2 2.9071e-4
3.0848e-2 3.0044e-4
3.3551e-2 3.1792e-4
3.5555e-2 3.2916e-4
3.8812e-2 3.4638e-4
4.1650e-2 3.6115e-4
4.4930e-2 3.7791e-4
4.8371e-2 3.9442e-4
5.2184e-2 4.1255e-4
5.6049e-2 4.3041e-4
6.0473e-2 4.5003e-4
6.4952e-2 4.6951e-4
7.0078e-2 4.9127e-4
7.5439e-2 5.1292e-4
8.1209e-2 5.3630e-4
8.7618e-2 5.6115e-4
9.4604e-2 5.9307e-4
9.7345e-2 1.8256e-1
9.7358e-2 1.5810e-1
9.7371e-2 1.3693e-1
9.7384e-2 1.1858e-1
9.7397e-2 1.0270e-1
