# mass_in_MeV   epsilon
1.1242e-2 6.1399e-4
1.2318e-2 6.2909e-4
1.3758e-2 6.5309e-4
1.4990e-2 6.7573e-4
1.6369e-2 7.0375e-4
1.8324e-2 7.3700e-4
2.0101e-2 7.7176e-4
2.1930e-2 8.1629e-4
2.3882e-2 8.5925e-4
2.6530e-2 9.2165e-4
2.8420e-2 9.6556e-4
3.1243e-2 1.0741e-3
3.3886e-2 1.1736e-3
3.6777e-2 1.2839e-3
3.9725e-2 1.4086e-3
4.3229e-2 1.6154e-3
4.6568e-2 1.8147e-3
5.0266e-2 2.0472e-3
5.3613e-2 2.2823e-3
5.7820e-2 2.5388e-3
6.4390e-2 2.7034e-3
6.9965e-2 2.8222e-3
7.7617e-2 2.9878e-3
8.4756e-2 3.1854e-3
9.2552e-2 3.3685e-3
9.9842e-2 3.5122e-3
1.0888e-1 3.8099e-3
1.3550e-1 4.8987e-3
1.4812e-1 5.4287e-3
1.6010e-1 6.1082e-3
1.6899e-1 7.1472e-3
1.7717e-1 8.2002e-3
1.9300e-1 1.0357e-2
2.0144e-1 1.1677e-2
2.1503e-1 1.3995e-2
2.2442e-1 1.6681e-2
2.3054e-1 2.0497e-2
2.3524e-1 2.4217e-2
2.4247e-1 2.9179e-2
2.4492e-1 3.3256e-2
2.4779e-1 2.5732e-1
